duo,frequency
11-20,1408
10-25,1404
10-20,1398
13-20,1392
20-25,1389
10-11,1379
14-20,1376
1-10,1367
9-10,1367
10-24,1365
10-12,1364
12-25,1362
10-14,1361
11-25,1360
24-25,1359
12-20,1357
18-20,1355
4-11,1354
3-25,1353
1-20,1351
5-20,1350
9-20,1349
2-25,1348
20-24,1346
10-13,1345
4-20,1344
4-10,1343
11-13,1342
11-24,1342
19-20,1342
13-25,1341
5-10,1341
15-20,1340
4-25,1340
10-19,1339
1-11,1338
1-25,1338
2-10,1338
20-21,1338
3-20,1338
10-18,1337
14-25,1337
2-20,1337
5-25,1337
7-20,1337
5-11,1336
1-13,1335
11-14,1335
4-24,1333
9-25,1332
18-25,1331
13-24,1330
22-25,1330
1-24,1329
11-22,1329
3-11,1329
3-10,1328
7-10,1327
1-15,1326
10-15,1326
19-25,1326
4-13,1324
11-15,1322
14-15,1321
11-23,1320
1-4,1319
11-18,1319
13-22,1319
2-11,1319
2-4,1319
11-19,1318
13-18,1318
22-24,1318
5-24,1318
20-22,1317
3-15,1317
3-4,1317
10-23,1316
4-19,1316
1-14,1315
10-17,1315
11-12,1315
14-24,1315
3-22,1315
4-22,1315
5-13,1315
12-24,1314
20-23,1314
3-13,1314
10-21,1313
23-25,1313
4-12,1313
4-9,1313
21-25,1312
6-20,1312
2-14,1311
3-24,1311
6-25,1311
7-11,1311
9-13,1311
11-21,1310
15-25,1310
1-3,1309
17-25,1308
1-12,1307
14-22,1307
1-2,1306
5-14,1306
5-21,1306
8-11,1306
12-22,1305
13-15,1305
8-10,1305
8-25,1305
2-24,1304
10-22,1302
13-21,1302
17-20,1301
4-21,1301
6-10,1301
7-25,1301
7-14,1300
12-13,1299
3-5,1299
8-20,1299
1-5,1298
15-24,1298
1-19,1297
3-14,1297
7-24,1297
1-9,1296
12-18,1296
3-9,1296
9-14,1296
18-24,1295
1-18,1294
4-14,1294
9-19,1294
13-19,1293
4-6,1293
1-22,1291
10-16,1291
2-13,1291
3-19,1291
6-24,1290
9-11,1290
9-12,1290
1-17,1289
11-17,1289
12-14,1289
13-14,1289
15-22,1289
2-22,1289
19-24,1288
2-5,1288
2-9,1288
4-5,1288
21-24,1287
3-6,1287
2-15,1286
12-15,1285
12-19,1285
12-21,1285
19-21,1285
2-12,1285
2-7,1285
15-19,1283
15-21,1283
4-23,1283
12-17,1282
2-18,1282
2-3,1282
13-23,1281
3-18,1281
16-20,1280
3-7,1280
7-18,1280
1-23,1279
18-22,1279
23-24,1279
5-19,1279
6-13,1279
1-21,1278
13-17,1278
14-19,1278
5-18,1278
2-23,1277
5-15,1277
14-21,1276
21-22,1276
6-12,1276
6-9,1276
7-22,1276
1-7,1275
14-23,1274
4-15,1274
7-13,1274
5-7,1273
14-17,1272
16-25,1271
17-21,1271
3-23,1271
5-22,1271
18-19,1270
6-17,1268
9-15,1268
17-24,1267
3-21,1267
12-23,1266
9-17,1266
9-21,1266
2-6,1265
3-17,1265
6-19,1265
7-12,1265
1-6,1264
18-21,1264
6-11,1264
8-14,1264
4-18,1262
5-23,1262
5-12,1261
8-13,1261
9-24,1261
4-17,1260
5-8,1260
6-18,1260
19-22,1259
2-17,1259
6-14,1259
2-21,1258
3-12,1257
6-22,1257
4-8,1256
5-9,1256
7-9,1256
15-18,1255
2-19,1255
9-22,1255
17-18,1254
17-22,1254
7-17,1254
8-22,1254
5-6,1252
9-18,1252
17-19,1251
8-24,1251
13-16,1250
14-18,1250
15-17,1250
2-8,1250
7-19,1250
6-15,1249
1-8,1247
7-15,1247
11-16,1245
19-23,1244
14-16,1242
7-21,1242
15-23,1241
16-21,1241
4-7,1240
7-23,1239
8-15,1239
8-18,1239
22-23,1238
5-17,1238
6-21,1238
7-8,1238
5-16,1237
9-23,1237
16-24,1235
16-19,1234
12-16,1233
4-16,1233
8-12,1233
3-8,1231
7-16,1230
6-7,1229
1-16,1228
16-22,1225
18-23,1224
8-21,1224
21-23,1223
17-23,1221
6-23,1221
8-9,1220
2-16,1218
3-16,1217
8-19,1216
16-18,1213
8-17,1211
16-23,1210
15-16,1209
9-16,1209
8-23,1207
6-16,1197
6-8,1197
8-16,1191
16-17,1173
