quadra,frequency
7-10-13-18,16
5-6-10-23,15
5-9-10-13,15
1-10-11-18,14
1-9-10-13,14
10-11-13-18,14
2-8-10-24,14
3-10-13-18,14
4-5-10-23,14
5-10-11-18,14
5-10-11-23,14
5-10-13-18,14
6-10-11-18,14
7-10-11-13,14
8-10-13-18,14
9-10-13-18,14
1-10-13-18,13
1-2-10-18,13
1-5-10-11,13
1-5-10-18,13
1-5-11-23,13
1-7-10-18,13
1-7-13-18,13
10-12-13-18,13
2-10-11-18,13
2-10-13-18,13
2-10-18-24,13
2-5-10-11,13
2-5-10-12,13
2-5-10-18,13
2-5-10-24,13
3-5-10-13,13
3-5-10-23,13
3-7-11-25,13
4-5-10-12,13
5-10-11-13,13
5-10-12-23,13
5-10-13-25,13
5-10-18-23,13
5-10-23-24,13
5-6-10-18,13
5-7-10-11,13
5-7-10-13,13
5-9-10-11,13
6-10-13-18,13
6-10-13-25,13
7-10-11-18,13
7-11-13-18,13
9-10-11-13,13
1-10-12-18,12
1-10-18-23,12
1-2-5-11,12
1-3-11-23,12
1-5-10-23,12
1-5-11-18,12
1-5-6-10,12
1-5-7-11,12
1-6-10-18,12
1-7-10-13,12
10-13-15-18,12
10-13-18-24,12
10-22-23-24,12
2-10-12-24,12
2-10-17-24,12
2-10-18-23,12
2-10-23-24,12
2-3-10-24,12
2-3-5-24,12
2-5-11-22,12
2-5-12-24,12
2-7-10-18,12
2-7-8-10,12
3-10-11-18,12
3-5-10-11,12
3-5-10-24,12
3-5-11-23,12
3-5-6-10,12
3-5-9-10,12
3-7-10-13,12
3-7-13-18,12
3-9-10-13,12
4-10-13-18,12
4-5-10-18,12
4-5-10-24,12
4-5-6-10,12
5-10-11-12,12
5-10-12-18,12
5-10-12-24,12
5-10-13-23,12
5-10-20-25,12
5-6-10-11,12
5-6-10-13,12
5-6-10-25,12
5-7-10-12,12
5-7-10-18,12
5-7-11-25,12
5-7-9-11,12
6-7-10-11,12
6-7-10-13,12
6-7-10-18,12
6-8-10-25,12
6-9-10-13,12
7-8-10-11,12
7-8-10-13,12
7-9-10-13,12
8-10-20-25,12
1-10-11-23,11
1-10-18-22,11
1-11-18-23,11
1-11-23-24,11
1-2-11-22,11
1-2-5-10,11
1-2-5-18,11
1-2-5-22,11
1-3-10-18,11
1-3-13-18,11
1-3-5-11,11
1-3-5-25,11
1-4-19-22,11
1-5-10-13,11
1-5-11-22,11
1-5-11-24,11
1-5-6-18,11
1-5-6-23,11
1-5-7-9,11
1-5-9-10,11
1-5-9-11,11
1-5-9-13,11
1-6-11-23,11
1-7-11-18,11
1-7-11-22,11
1-9-10-18,11
1-9-13-18,11
10-11-18-22,11
10-11-18-23,11
10-11-18-24,11
10-12-18-23,11
10-12-20-25,11
10-13-18-21,11
10-13-18-23,11
10-19-20-22,11
10-20-24-25,11
19-20-24-25,11
2-10-11-22,11
2-10-11-24,11
2-10-18-22,11
2-10-22-24,11
2-3-10-18,11
2-3-11-24,11
2-3-15-24,11
2-3-5-10,11
2-3-8-10,11
2-3-8-24,11
2-4-5-12,11
2-5-10-22,11
2-5-10-23,11
2-5-11-24,11
2-5-12-22,11
2-5-16-22,11
2-5-7-10,11
2-5-8-10,11
2-7-10-11,11
2-7-10-13,11
2-7-11-22,11
2-8-10-18,11
3-10-11-13,11
3-10-23-24,11
3-11-13-18,11
3-20-24-25,11
3-5-10-12,11
