quina,frequency
10-11-12-20-25,280
10-11-13-20-25,276
2-10-11-20-25,271
10-12-20-24-25,269
10-11-13-18-20,267
3-11-15-22-24,267
4-9-10-11-20,267
8-10-11-20-25,267
10-12-14-20-25,266
2-10-12-20-25,266
2-9-10-20-25,266
9-10-11-13-20,266
10-11-12-18-20,265
10-12-18-24-25,265
10-12-23-24-25,265
2-10-11-13-20,265
4-10-11-13-20,265
9-10-13-20-25,265
10-11-20-23-25,264
3-5-9-10-25,264
5-11-14-20-25,264
1-10-12-24-25,263
10-12-13-20-25,263
11-13-18-20-22,263
2-10-14-20-25,263
3-9-10-13-25,263
1-5-11-23-24,262
10-11-12-13-20,262
10-11-18-20-25,262
10-14-20-23-25,262
2-10-12-24-25,262
3-11-14-15-22,262
4-12-21-22-25,262
5-8-11-20-25,262
1-4-11-13-20,261
10-11-14-20-25,261
2-11-12-20-25,261
2-12-20-24-25,261
2-4-10-11-20,261
3-11-13-15-24,261
3-11-13-18-20,261
9-10-11-12-20,261
1-10-11-13-20,260
1-11-13-18-20,260
1-9-10-13-25,260
10-11-12-23-25,260
10-11-12-24-25,260
10-11-20-24-25,260
11-12-13-18-20,260
2-4-11-20-25,260
2-9-10-12-25,260
3-11-15-20-22,260
3-14-15-22-25,260
5-10-11-20-25,260
8-10-13-20-25,260
8-10-14-20-25,260
9-10-13-14-20,260
1-4-11-23-24,259
10-11-12-20-23,259
10-12-18-20-25,259
10-13-14-20-25,259
10-13-20-24-25,259
10-20-23-24-25,259
11-12-14-20-25,259
2-10-11-18-20,259
3-6-9-10-25,259
1-10-11-18-20,258
10-11-12-18-25,258
10-11-15-18-20,258
10-12-20-23-25,258
11-12-13-19-20,258
11-13-15-20-22,258
4-11-13-20-22,258
5-11-13-18-20,258
5-8-10-20-25,258
9-10-11-12-25,258
9-10-12-13-25,258
1-10-11-13-18,257
1-11-12-19-20,257
1-11-15-19-20,257
1-3-14-15-24,257
1-4-10-11-23,257
10-11-13-20-23,257
10-12-13-24-25,257
10-14-20-24-25,257
10-19-20-24-25,257
11-20-23-24-25,257
2-10-11-12-20,257
2-10-20-24-25,257
2-11-13-20-25,257
2-11-20-23-25,257
2-4-9-10-14,257
2-7-11-20-25,257
3-4-9-10-11,257
4-11-13-19-20,257
5-8-10-11-25,257
6-9-10-20-25,257
9-10-12-24-25,257
9-12-13-18-20,257
1-10-11-23-24,256
1-2-4-11-20,256
10-11-12-17-25,256
10-12-16-20-25,256
11-12-15-20-25,256
2-11-13-18-20,256
2-4-11-13-20,256
2-4-12-24-25,256
2-6-9-10-25,256
3-11-14-15-24,256
3-4-11-13-20,256
3-9-13-18-20,256
4-10-23-24-25,256
4-11-13-18-20,256
6-10-12-20-24,256
7-11-13-18-20,256
9-10-12-20-25,256
9-10-14-15-20,256
9-10-14-19-20,256
9-11-13-18-20,256
1-10-12-19-25,255
1-10-14-15-24,255
1-4-11-14-24,255
10-11-12-14-25,255
10-14-15-19-20,255
11-13-15-22-24,255
12-14-15-20-25,255
2-11-14-20-25,255
2-4-23-24-25,255
3-10-14-20-25,255
3-10-20-24-25,255
3-15-19-24-25,255
3-9-10-20-25,255
3-9-13-15-25,255
4-10-11-20-23,255
9-10-11-20-25,255
1-3-11-15-22,254
10-11-14-20-24,254
11-14-15-20-25,254
2-10-13-20-25,254
2-9-13-18-20,254
3-4-15-22-25,254
4-10-11-12-20,254
4-5-11-19-20,254
4-5-11-20-24,254
4-9-10-12-22,254
5-10-11-18-20,254
5-10-20-24-25,254
5-11-20-23-25,254
5-7-13-18-20,254
5-8-10-11-24,254
8-10-11-12-25,254
8-10-11-18-25,254
8-9-10-20-25,254
1-10-11-15-20,253
1-10-13-20-25,253
1-10-14-20-25,253
1-11-13-15-24,253
1-4-11-20-21,253
1-4-5-11-24,253
1-9-10-13-17,253
10-11-13-20-24,253
10-11-14-18-20,253
10-11-23-24-25,253
10-12-14-18-20,253
10-12-14-18-25,253
10-14-15-20-25,253
11-12-18-19-20,253
11-12-18-20-25,253
11-14-15-20-22,253
11-15-18-20-22,253
2-10-11-12-25,253
2-10-12-14-25,253
2-11-20-24-25,253
2-3-9-20-25,253
2-7-14-20-25,253
2-8-10-20-25,253
3-11-13-15-22,253
3-4-10-11-20,253
4-11-13-15-20,253
4-20-23-24-25,253
4-5-10-11-24,253
4-9-10-11-12,253
5-10-14-20-25,253
5-10-19-20-25,253
5-10-19-24-25,253
7-10-11-18-20,253
8-11-14-20-25,253
1-10-11-20-23,252
1-11-14-15-24,252
1-11-15-20-24,252
1-3-11-15-24,252
1-3-9-10-13,252
1-5-11-18-20,252
1-7-10-12-17,252
1-9-10-12-25,252
1-9-10-24-25,252
10-11-12-13-25,252
10-12-16-24-25,252
10-13-18-20-25,252
10-14-15-18-20,252
11-13-15-18-20,252
11-13-19-20-21,252
2-10-12-23-25,252
2-14-20-24-25,252
2-3-14-15-22,252
2-3-9-10-25,252
3-11-13-15-20,252
3-4-11-22-25,252
3-4-6-9-25,252
3-5-11-15-24,252
4-10-11-20-25,252
4-10-12-24-25,252
4-5-8-11-24,252
4-9-10-11-23,252
5-10-11-23-24,252
