terno,frequency
10-20-25,842
10-11-20,835
11-13-20,832
10-12-25,826
11-20-25,824
10-14-20,821
9-10-25,817
4-11-20,815
10-13-20,814
13-18-20,813
9-10-20,813
10-11-25,812
14-20-25,812
11-18-20,811
10-24-25,810
5-11-20,810
11-14-20,809
10-12-20,808
11-12-20,808
10-18-20,805
12-20-25,805
1-10-25,804
10-13-25,804
10-20-24,804
11-15-20,804
4-10-11,804
14-15-20,802
9-13-20,802
1-11-20,800
1-13-20,800
12-24-25,800
4-13-20,800
5-10-25,800
11-19-20,799
2-10-25,799
2-11-20,799
1-10-11,798
13-14-20,798
13-20-25,798
2-20-25,798
5-14-20,798
1-10-20,797
20-24-25,797
7-11-20,797
1-10-24,796
10-14-25,796
3-10-25,796
11-20-24,795
5-20-25,795
10-19-20,794
1-10-14,793
10-18-25,793
11-12-25,793
8-10-25,793
9-10-12,793
13-20-22,792
10-11-24,791
10-12-24,791
10-23-25,791
12-13-20,791
3-22-25,791
5-13-20,791
9-10-14,791
11-20-22,790
3-11-20,790
4-11-24,790
7-14-20,790
1-10-12,789
10-11-13,789
11-20-21,789
3-20-25,789
4-10-12,789
4-9-10,789
1-15-20,788
1-4-11,788
10-19-25,788
13-19-20,788
2-24-25,788
4-10-24,788
5-10-24,788
1-10-17,787
10-11-12,787
10-11-18,787
5-10-11,787
9-20-25,787
10-14-24,786
11-20-23,786
2-10-20,786
3-5-25,786
10-11-23,785
10-13-24,785
10-14-15,785
12-18-20,785
2-4-25,785
3-9-10,785
5-10-20,785
1-10-13,784
9-10-13,784
1-9-10,783
10-11-14,783
2-10-14,783
3-11-22,783
3-4-11,783
3-9-25,783
9-10-11,783
9-10-19,783
9-11-20,783
9-14-20,783
1-20-25,782
13-20-24,782
4-12-25,782
10-20-23,781
12-20-24,781
18-24-25,781
4-24-25,781
8-11-25,781
9-19-20,781
1-11-24,780
1-13-24,780
1-24-25,780
11-23-25,780
13-15-20,780
13-20-21,780
13-24-25,780
18-20-25,780
2-11-25,780
4-10-25,780
5-11-24,780
7-10-25,780
8-11-20,780
11-14-15,779
11-24-25,779
2-14-20,779
2-9-20,779
3-13-20,779
4-13-24,779
4-20-25,779
7-10-11,779
7-13-20,779
7-20-25,779
9-13-25,779
10-20-21,778
12-18-25,778
12-22-25,778
14-19-20,778
14-20-24,778
2-10-11,778
20-21-25,778
5-11-25,778
1-10-18,777
1-12-25,777
1-18-20,777
10-12-14,777
10-15-20,777
11-22-24,777
4-11-21,777
4-9-20,777
11-18-25,776
2-14-25,776
3-10-11,776
3-11-15,776
3-13-25,776
6-10-25,776
7-10-20,776
7-18-20,776
1-10-19,775
1-11-13,775
1-3-10,775
10-12-18,775
12-19-20,775
14-15-22,775
3-4-22,775
4-10-20,775
4-11-19,775
1-11-14,774
1-4-13,774
10-11-15,774
11-13-24,774
2-9-25,774
3-15-22,774
3-15-25,774
3-4-25,774
5-24-25,774
9-12-20,774
1-12-20,773
10-16-25,773
11-13-22,773
11-14-25,773
11-22-25,773
19-20-25,773
2-4-10,773
2-4-11,773
4-10-19,773
4-11-25,773
4-22-24,773
4-22-25,773
4-5-11,773
5-14-25,773
5-18-20,773
7-10-14,773
7-20-24,773
8-10-11,773
8-10-20,773
1-10-15,772
1-14-20,772
1-14-24,772
10-21-25,772
12-14-20,772
12-14-25,772
12-15-20,772
2-12-25,772
20-23-25,772
3-14-15,772
3-24-25,772
8-20-25,772
1-15-24,771
1-3-15,771
10-11-19,771
10-12-23,771
10-15-24,771
11-13-25,771
13-22-24,771
14-20-21,771
3-15-24,771
4-11-13,771
5-20-21,771
9-12-25,771
1-13-18,770
1-14-15,770
1-4-20,770
10-17-25,770
10-19-24,770
11-13-15,770
11-15-24,770
2-4-20,770
3-10-20,770
3-14-20,770
3-15-20,770
3-18-20,770
4-21-25,770
5-20-24,770
6-10-20,770
1-20-24,769
1-5-20,769
10-12-22,769
11-14-24,769
14-17-20,769
22-24-25,769
23-24-25,769
3-18-25,769
5-19-20,769
8-13-20,769
9-10-17,769
1-13-25,768
1-14-25,768
1-2-25,768
1-5-10,768
10-18-24,768
10-22-25,768
11-13-23,768
12-13-25,768
2-10-12,768
2-10-24,768
3-10-14,768
3-11-25,768
3-19-25,768
3-4-10,768
3-9-20,768
4-11-22,768
4-19-20,768
5-11-14,768
5-13-24,768
9-18-20,768
1-3-25,767
1-5-11,767
11-13-18,767
11-23-24,767
12-15-25,767
15-19-20,767
15-20-25,767
19-24-25,767
2-3-25,767
3-4-20,767
3-5-11,767
4-12-22,767
4-5-20,767
5-8-11,767
9-10-24,767
1-11-15,766
1-11-19,766
1-19-25,766
10-13-18,766
11-14-23,766
13-20-23,766
14-20-22,766
18-20-21,766
2-13-20,766
2-9-10,766
4-10-23,766
4-19-24,766
6-9-10,766
6-9-25,766
1-11-23,765
1-2-10,765
1-4-10,765
10-11-17,765
10-12-17,765
14-20-23,765
19-20-21,765
2-7-10,765
2-7-14,765
3-11-13,765
3-22-24,765
3-4-19,765
3-4-6,765
4-13-25,765
4-20-21,765
6-13-20,765
1-9-13,764
10-11-21,764
3-20-24,764
3-6-25,764
4-6-24,764
4-9-19,764
5-10-13,764
1-10-23,763
1-11-18,763
1-13-15,763
1-19-20,763
1-3-13,763
10-12-19,763
11-19-25,763
12-21-25,763
13-18-25,763
2-23-25,763
20-22-25,763
3-4-24,763
4-13-22,763
5-11-13,763
6-9-20,763
7-10-12,763
7-10-18,763
10-15-25,762
10-17-20,762
13-17-20,762
13-18-22,762
15-18-20,762
2-12-20,762
2-18-20,762
2-22-25,762
2-5-10,762
2-7-20,762
3-14-25,762
3-4-13,762
4-10-14,762
4-11-23,762
4-12-20,762
4-20-23,762
4-23-24,762
4-9-11,762
5-13-21,762
5-19-25,762
6-12-25,762
9-19-25,762
1-15-25,761
11-14-22,761
12-17-25,761
14-18-20,761
2-20-24,761
2-4-12,761
2-4-24,761
2-6-25,761
3-11-24,761
5-10-19,761
5-10-21,761
5-11-23,761
6-11-20,761
6-20-24,761
1-4-24,760
1-9-25,760
10-14-22,760
12-19-25,760
12-20-21,760
13-22-25,760
2-4-22,760
2-4-9,760
3-10-24,760
3-4-9,760
4-11-14,760
4-23-25,760
4-8-11,760
5-14-24,760
7-10-24,760
1-4-25,759
1-7-10,759
1-9-20,759
10-12-13,759
10-12-21,759
10-19-21,759
10-23-24,759
12-20-22,759
14-22-25,759
18-22-25,759
3-13-24,759
3-5-10,759
4-14-24,759
4-9-25,759
5-15-20,759
5-8-25,759
7-11-24,759
8-10-24,759
9-10-15,759
9-10-18,759
1-2-4,758
1-3-20,758
10-11-22,758
10-18-19,758
12-13-18,758
19-20-24,758
2-11-13,758
3-13-15,758
3-5-15,758
4-10-13,758
4-12-13,758
4-5-24,758
4-6-25,758
5-21-25,758
5-7-20,758
1-12-24,757
1-13-22,757
10-14-23,757
10-15-21,757
