cycle_id,seed,generation_event_id_N,generation_event_id_N1,generated_games_count_N,generated_games_count_N1,calibration_plan_created,calibration_plan_loaded_from_db,calibration_plan_applied_to_generation,authorized_plan_loaded_from_db,authorized_plan_applied_to_generation,post_calibration_promotion_evaluated,lot_operational_status_N1,gp_quality_tier_N1,ml_verdict_N1,official_release_allowed_N1,is_analytical_history_eligible,is_official_conference_eligible,promoted_to_analytical_history,promoted_to_official_conference,persistence_blocked,promotion_block_reason,in_coverage,in_central_ml,in_analytical_history,in_conferir_resultados,technical_error,failure_stage
1,10001,1,2,20,20,True,True,True,True,True,True,needs_calibration,,PRECISA CALIBRAR,False,False,False,False,False,False,ml_verdict_precisa_calibrar_not_releasable,True,True,False,False,,I
2,10002,1,2,20,20,True,True,True,True,True,True,needs_calibration,,PRECISA CALIBRAR,False,False,False,False,False,False,ml_verdict_precisa_calibrar_not_releasable,True,True,False,False,,I
3,10003,1,2,20,20,True,True,True,True,True,True,needs_calibration,,PRECISA CALIBRAR,False,False,False,False,False,False,ml_verdict_precisa_calibrar_not_releasable,True,True,False,False,,I
4,10004,1,2,20,20,True,True,True,True,True,True,needs_calibration,,PRECISA CALIBRAR,False,False,False,False,False,False,ml_verdict_precisa_calibrar_not_releasable,True,True,False,False,,I
5,10005,1,2,20,20,True,True,True,True,True,True,needs_calibration,,PRECISA CALIBRAR,False,False,False,False,False,False,ml_verdict_precisa_calibrar_not_releasable,True,True,False,False,,I
6,10006,1,2,20,20,True,True,True,True,True,True,needs_calibration,,PRECISA CALIBRAR,False,False,False,False,False,False,ml_verdict_precisa_calibrar_not_releasable,True,True,False,False,,I
7,10007,1,2,20,20,True,True,True,True,True,True,needs_calibration,,PRECISA CALIBRAR,False,False,False,False,False,False,ml_verdict_precisa_calibrar_not_releasable,True,True,False,False,,I
8,10008,1,2,20,20,True,True,True,True,True,True,pending_structural_review,,REPROVADO,False,False,False,False,False,False,ml_verdict_reprovado_not_releasable,True,True,False,False,,I
9,10009,1,2,20,20,True,True,True,True,True,True,pending_structural_review,,REPROVADO,False,False,False,False,False,False,ml_verdict_reprovado_not_releasable,True,True,False,False,,I
10,10010,1,2,20,20,True,True,True,True,True,True,needs_calibration,,PRECISA CALIBRAR,False,False,False,False,False,False,ml_verdict_precisa_calibrar_not_releasable,True,True,False,False,,I
11,10011,1,2,20,20,True,True,True,True,True,True,needs_calibration,,PRECISA CALIBRAR,False,False,False,False,False,False,ml_verdict_precisa_calibrar_not_releasable,True,True,False,False,,I
12,10012,1,2,20,20,True,True,True,True,True,True,pending_structural_review,,REPROVADO,False,False,False,False,False,False,ml_verdict_reprovado_not_releasable,True,True,False,False,,I
13,10013,1,2,20,20,True,True,True,True,True,True,needs_calibration,,PRECISA CALIBRAR,False,False,False,False,False,False,ml_verdict_precisa_calibrar_not_releasable,True,True,False,False,,I
14,10014,1,2,20,20,True,True,True,True,True,True,needs_calibration,,PRECISA CALIBRAR,False,False,False,False,False,False,ml_verdict_precisa_calibrar_not_releasable,True,True,False,False,,I
15,10015,1,2,20,20,True,True,True,True,True,True,needs_calibration,,PRECISA CALIBRAR,False,False,False,False,False,False,ml_verdict_precisa_calibrar_not_releasable,True,True,False,False,,I
16,10016,1,2,20,20,True,True,True,True,True,True,needs_calibration,,PRECISA CALIBRAR,False,False,False,False,False,False,ml_verdict_precisa_calibrar_not_releasable,True,True,False,False,,I
17,10017,1,2,20,20,True,True,True,True,True,True,pending_structural_review,,REPROVADO,False,False,False,False,False,False,ml_verdict_reprovado_not_releasable,True,True,False,False,,I
18,10018,1,2,20,20,True,True,True,True,True,True,needs_calibration,,PRECISA CALIBRAR,False,False,False,False,False,False,ml_verdict_precisa_calibrar_not_releasable,True,True,False,False,,I
19,10019,1,2,20,20,True,True,True,True,True,True,pending_structural_review,,REPROVADO,False,False,False,False,False,False,ml_verdict_reprovado_not_releasable,True,True,False,False,,I
20,10020,1,2,20,20,True,True,True,True,True,True,needs_calibration,,PRECISA CALIBRAR,False,False,False,False,False,False,ml_verdict_precisa_calibrar_not_releasable,True,True,False,False,,I
21,10021,1,2,20,20,True,True,True,True,True,True,needs_calibration,,PRECISA CALIBRAR,False,False,False,False,False,False,ml_verdict_precisa_calibrar_not_releasable,True,True,False,False,,I
22,10022,1,2,20,20,True,True,True,True,True,True,needs_calibration,,PRECISA CALIBRAR,False,False,False,False,False,False,ml_verdict_precisa_calibrar_not_releasable,True,True,False,False,,I
23,10023,1,2,20,20,True,True,True,True,True,True,needs_calibration,,PRECISA CALIBRAR,False,False,False,False,False,False,ml_verdict_precisa_calibrar_not_releasable,True,True,False,False,,I
24,10024,1,2,20,20,True,True,True,True,True,True,needs_calibration,,PRECISA CALIBRAR,False,False,False,False,False,False,ml_verdict_precisa_calibrar_not_releasable,True,True,False,False,,I
